Compilation	Reference	Reference DOI	Locality	Glacier	Region	Latitude	Longitude	Elevation (m)	Type	Methodology	Area (km2)	Time interval (yr)	Sediment flux (km3/yr)	Exhumation (m)	Exhumation min (m)	Exhumation max (m)	Erosion rate (mm/yr)	Erosion rate min	Erosion rate max	Comments
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		Continental	Cosmogenic surface	1.00E-08	8.70E+01		0.011			0.13000	0.00000	0.13000	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		Continental	Cosmogenic surface	1.00E-08	2.19E+02		0.007			0.03000	0.00000	0.14000	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		Continental	Cosmogenic surface	1.00E-08	2.02E+02		0.023			0.12000	0.00000	0.25000	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		Continental	Cosmogenic surface	1.00E-08	2.13E+02		0.034			0.16000	0.02000	0.30000	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		Continental	Cosmogenic surface	1.00E-08	2.13E+02		0.013			0.06000	0.00000	0.17000	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		Continental	Cosmogenic surface	1.00E-08	2.13E+02		0.034			0.16000	0.01000	0.31000	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		Continental	Cosmogenic surface	1.00E-08	2.17E+02		0.113			0.52000	0.41000	0.63000	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		Continental	Cosmogenic surface	1.00E-08	2.20E+02		0.230			1.04000	0.90000	1.18000	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		Continental	Cosmogenic surface	1.00E-08	2.13E+02		0.406			1.91000	1.75000	2.07000	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		Continental	Cosmogenic surface	1.00E-08	2.16E+02		0.272			1.26000	1.14000	1.38000	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		Continental	Cosmogenic surface	1.00E-08	2.16E+02		0.435			2.01000	1.90000	2.12000	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		Continental	Cosmogenic surface	1.00E-08	1.85E+02		0.387			2.09000	1.96000	2.22000	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		Continental	Cosmogenic surface	1.00E-08	1.85E+02		0.236			1.28000	1.16000	1.40000	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		Continental	Cosmogenic surface	1.00E-08	2.22E+02		0.390			1.76000	1.63000	1.89000	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		Continental	Cosmogenic surface	1.00E-08	2.22E+02		0.241			1.09000	0.98000	1.20000	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		Continental	Cosmogenic surface	1.00E-08	2.22E+02		0.310			1.40000	1.29000	1.51000	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		Continental	Cosmogenic surface	1.00E-08	2.17E+02		0.273			1.26000	1.16000	1.36000	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		Continental	Cosmogenic surface	1.00E-08	2.16E+02		1.470			6.80000	6.50000	7.10000	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		Continental	Cosmogenic surface	1.00E-08	2.16E+02		1.349			6.24000	6.00000	6.48000	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		Continental	Cosmogenic surface	1.00E-08	2.22E+02		1.265			5.70000	5.53000	5.87000	
Balter-Kennedy et al., 2021	Young et al., 2016	10.1002/2016GL070258	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		Continental	Cosmogenic surface	1.00E-08	8.70E+01		0.034			0.39000	0.08000	0.70000	
Balter-Kennedy et al., 2021	Young et al., 2016	10.1002/2016GL070258	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		Continental	Cosmogenic surface	1.00E-08	8.70E+01		0.032			0.37000	0.06000	0.68000	
Balter-Kennedy et al., 2021	Young et al., 2016	10.1002/2016GL070258	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		Continental	Cosmogenic surface	1.00E-08	8.70E+01		0.055			0.63000	0.32000	0.94000	
Balter-Kennedy et al., 2021	Young et al., 2016	10.1002/2016GL070258	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		Continental	Cosmogenic surface	1.00E-08	8.70E+01		0.076			0.87000	0.58000	1.16000	
Balter-Kennedy et al., 2021	Young et al., 2016	10.1002/2016GL070258	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		Continental	Cosmogenic surface	1.00E-08	8.70E+01		0.059			0.68000	0.37000	0.99000	
Balter-Kennedy et al., 2021	Young et al., 2016	10.1002/2016GL070258	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		Continental	Cosmogenic surface	1.00E-08	8.70E+01		0.075			0.86000	0.54000	1.18000	
Balter-Kennedy et al., 2021	Young et al., 2016	10.1002/2016GL070258	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		Continental	Cosmogenic surface	1.00E-08	8.70E+01		0.091			1.05000	0.73000	1.37000	
Balter-Kennedy et al., 2021	Young et al., 2016	10.1002/2016GL070258	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		Continental	Cosmogenic surface	1.00E-08	8.70E+01		0.253			2.90000	2.58000	3.22000	
Bell and Laine, 1985	Kaszycki and Shilts, 1980	10.1016/0033-5894(85)90026-2	Keewatin Peninsula Ontario	Laurentide Ice Sheet	Laurentide	49.75957	-94.55158		Continental	Volumetric		6.40E+04		6.000	2.000	10.000	0.09375	0.03125	0.15625	unpublished data; last glacial/interglacial assuming Wisconsin c. 75 to 11 kya
Faleide et al., 1996	Hjelstuen et al., 1996	10.1016/0921-8181(95)00012-7	Storfjorden Fan	Fennoscandian Ice Sheet	Fennoscandia	76.00000	20.00000		Continental	Volumetric	6.90E+04	1.30E+06		817.000			0.57000			
Faleide et al., 1996	Hjelstuen et al., 1996	10.1016/0921-8181(95)00012-7	Storfjorden Fan	Fennoscandian Ice Sheet	Fennoscandia	76.00000	20.00000		Continental	Volumetric	6.90E+04	5.60E+05		754.000			1.10000			
Faleide et al., 1996	Hjelstuen et al., 1996	10.1016/0921-8181(95)00012-7	Storfjorden Fan	Fennoscandian Ice Sheet	Fennoscandia	76.00000	20.00000		Continental	Volumetric	6.90E+04	4.40E+05		116.000			0.18000			
Faleide et al., 1996	Fiedler and Faleide, 1996	10.1016/0921-8181(95)00012-7	Bjørnøya Fan	Fennoscandian Ice Sheet	Fennoscandia	72.40000	20.00000		Continental	Volumetric	5.76E+05	1.30E+06					0.13000			
Faleide et al., 1996	Fiedler and Faleide, 1996	10.1016/0921-8181(95)00012-7	Bjørnøya Fan	Fennoscandian Ice Sheet	Fennoscandia	72.40000	20.00000		Continental	Volumetric	5.76E+05	5.60E+05					0.48000			
Faleide et al., 1996	Fiedler and Faleide, 1996	10.1016/0921-8181(95)00012-7	Bjørnøya Fan	Fennoscandian Ice Sheet	Fennoscandia	72.40000	20.00000		Continental	Volumetric	5.76E+05	4.40E+05					0.31000			
Geirsdóttir et al., 2007	Björnsson, 1979		Austurland	Vatnajökull	Iceland	65.77630	-22.39488		High-latitude	Volumetric							3.20000			
Geirsdóttir et al., 2007	Björnsson, 1996	10.3189/1996AoG22-1-141-146	Austurland	Breiðamerkurjökull	Iceland	64.15332	-16.40858		Outlet ice stream	Volumetric	7.50E+02	1.58E+02	3.16E-02				372.71449	42.19409	703.23488	Excavating soft sediment, not bedrock
Geirsdóttir et al., 2008	Andrews, 2008	10.1111/j.1502-3885.2007.tb01248.x	NW Iceland	Average	Iceland	65.77000	-22.37000		Continental	Volumetric							0.06000			Sedimentary deposition during ice age; not necessarily glacial
Hallet et al., 1996	Anderson, 1978	10.1080/00040851.1978.12004012	Pangnirmng F., NE Canada	Pangnirmng F., NE Canada	Laurentide	66.44895	-65.64205		High-latitude	Volumetric							0.03000			
Hallet et al., 1996	Andrews et al., 1994	10.1086/629711	Kangerlussuaq	Kangerlussuaq	Greenland	67.01100	-50.72000		Continental	Volumetric	5.00E+03	1.20E+04	6.62E-07				0.01000			
Hallet et al., 1996	Andrews et al., 1994	10.1086/629711	Mikis Fjord	Mikis Fjord	Greenland	66.74220	-53.56390		Continental	Volumetric	1.95E+02	1.20E+04	1.04E-08				0.04000			
Hallet et al., 1996	Andrews et al., 1994	10.1086/629711	Nansen Fjord	Nansen Fjord	Greenland	80.01670	-21.00000		Continental	Volumetric	9.52E+03	1.20E+04	1.72E-07				0.01000			
Hallet et al., 1996	Bezinge, 1987		Switzerland	Bertol Inferieur	Alps	46.00489	7.53182		Alpine	Volumetric	8.20E+00	1.92E-02					0.41000			Direct measurments of suspended sediment load, repeated over seven days
Hallet et al., 1996	Bezinge, 1987		Switzerland	Dixence	Alps	46.11670	7.38190		Alpine	Volumetric		1.92E-02					1.30000			Direct measurments of suspended sediment load, repeated over seven days
Hallet et al., 1996	Bezinge, 1987		Switzerland	Drance	Alps	46.10800	7.09210		Alpine	Volumetric		1.92E-02					1.70000			Direct measurments of suspended sediment load, repeated over seven days
Hallet et al., 1996	Bezinge, 1987		Switzerland	Ferpecle	Alps	46.05170	7.51530		Alpine	Volumetric	3.60E+01	1.92E-02					0.47000			Direct measurments of suspended sediment load, repeated over seven days
Hallet et al., 1996	Bezinge, 1987		Switzerland	Gomer	Alps	46.64630	8.25470		Alpine	Volumetric	8.00E+01	1.92E-02					1.40000			Direct measurments of suspended sediment load, repeated over seven days
Hallet et al., 1996	Bezinge, 1987		Switzerland	Massa	Alps	46.60670	8.33110		Alpine	Volumetric		1.92E-02					1.00000			Direct measurments of suspended sediment load, repeated over seven days
Hallet et al., 1996	Bezinge, 1987		Switzerland	Stafel	Alps	45.97670	7.56250		Alpine	Volumetric	3.60E+01	1.92E-02					0.77000			Direct measurments of suspended sediment load, repeated over seven days
Hallet et al., 1996	Bezinge, 1987		Switzerland	Tsidjore	Alps	46.00540	7.74570		Alpine	Volumetric	4.80E+00	1.92E-02					0.56000			Direct measurments of suspended sediment load, repeated over seven days
Hallet et al., 1996	Bogen, 1989	10.3189/S0260305500007539	Norway	Austre Memurubreen	Fennoscandia	61.58280	8.32275		High-latitude	Volumetric	9.00E+00	6.00E+00					0.38000			
Hallet et al., 1996	Bogen, 1989	10.3189/S0260305500007539	Norway	Bødalsbreen	Fennoscandia	60.98240	7.22650		High-latitude	Volumetric	1.35E+01	1.70E+01					0.08000			
Hallet et al., 1996	Bogen, 1989	10.3189/S0260305500007539	Norway	Bondhusbreen	Fennoscandia	60.00600	6.55100		High-latitude	Volumetric	1.20E+01	2.00E+00					0.44000			
Hallet et al., 1996	Bogen, 1989	10.3189/S0260305500007539	Norway	Engabreen	Fennoscandia	67.85560	15.59420		High-latitude	Volumetric	3.80E+01	1.00E+01					0.41000			
Hallet et al., 1996	Bogen, 1989	10.3189/S0260305500007539	Norway	Erdalsbreen	Fennoscandia	61.64100	7.76980		High-latitude	Volumetric	1.10E+01	7.00E+00					0.70000			
Hallet et al., 1996	Bogen, 1989	10.3189/S0260305500007539	Norway	Hogbreen	Fennoscandia	78.19470	15.62000		High-latitude	Volumetric	2.60E+00	3.00E+00					0.07000			
Hallet et al., 1996	Bogen, 1989	10.3189/S0260305500007539	Norway	Sandskardfonna	Fennoscandia	61.56520	6.36020		High-latitude	Volumetric	3.60E+00	9.00E+00					0.09000			
Hallet et al., 1996	Bogen, 1989	10.3189/S0260305500007539	Norway	Skåtlbreen	Fennoscandia	78.09560	15.73310		High-latitude	Volumetric	4.80E+00	9.00E+00					0.23000			
Hallet et al., 1996	Bogen, 1989	10.3189/S0260305500007539	Norway	Steinhusflatebreen	Fennoscandia	78.05870	15.74460		High-latitude	Volumetric	2.30E+00	9.00E+00					0.07000			
Hallet et al., 1996	Bogen, 1989	10.3189/S0260305500007539	Norway	Tindefjellsbreen	Fennoscandia	61.51360	7.26470		High-latitude	Volumetric	2.50E+00	9.00E+00					0.06000			
Hallet et al., 1996	Bogen, 1989	10.3189/S0260305500007539	Norway	Trollbergsdalsbreen	Fennoscandia	61.44560	7.18140		High-latitude	Volumetric	2.00E+00	5.00E+00					0.96000			
Hallet et al., 1996	Bogen, 1989	10.3189/S0260305500007539	Norway	Tverrelvskardet	Fennoscandia	61.28710	7.91210		High-latitude	Volumetric	1.01E+01	9.00E+00					0.65000			
Hallet et al., 1996	Bogen, 1989	10.3189/S0260305500007539	Norway	Vesledalsbreen	Fennoscandia	60.69000	6.67920		High-latitude	Volumetric	4.00E+00	6.00E+00					0.09000			
Hallet et al., 1996	Bogen, 1993		Svalbard	Brøggerbreen	Fennoscandia	78.17750	15.65360		High-latitude	Volumetric	3.20E+01						0.27000			*added in area that was reported in Anderson, 2005
Hallet et al., 1996	Cai, 1994		Caroll, Alaska	Caroll, Goldthwait	North American Cordillera	58.88485	-136.70338		High-latitude	Volumetric	4.00E+02	4.00E+00	4.10E-02				54.33000			
Hallet et al., 1996	Cai, 1994		Johns Hopkins, Alaska	Johns Hopkins	North American Cordillera	59.86670	-139.72730		High-latitude	Volumetric	3.16E+02	8.70E+01	2.40E-02				47.24000			
Hallet et al., 1996	Carlson, 1989	10.1016/0025-3227(89)90161-8	Copper River, Alaska Drainage Basin, Alaska	Copper River	North American Cordillera	60.67736	-144.69218		High-latitude	Volumetric	5.34E+04						0.56000			
Hallet et al., 1996	Carlson, 1989	10.1016/0025-3227(89)90161-8	Hubbard, Alaska	Hubbard	North American Cordillera	58.79610	-139.26290		High-latitude	Volumetric	3.87E+03	7.00E+02	1.00E-01				13.71000			
Hallet et al., 1996	Chernova, 1981	10.3189/172756481794352270	Ледник Аютор	Ajutor-3	Central Asia	42.05364	-70.40718		Alpine	Volumetric	3.40E+00	3.60E+01	8.15E-07				0.24000			
Hallet et al., 1996	Chernova, 1981	10.3189/172756481794352270	Fedchenko	Fedchenko	Central Asia	38.27170	72.00360		Alpine	Volumetric	6.62E+02	3.50E+01	2.89E-03				4.36000			
Hallet et al., 1996	Chernova, 1981	10.3189/172756481794352270	IMAT	IMAT	Central Asia				Alpine	Volumetric	3.80E+00	6.00E+00	3.15E-06				0.83000			
Hallet et al., 1996	Chernova, 1981	10.3189/172756481794352270	Karabatak	Karabatak	Central Asia	41.99972	77.48575		Alpine	Volumetric	4.70E+00	1.50E+01	1.78E-06				0.38000			
Hallet et al., 1996	Chernova, 1981	10.3189/172756481794352270	RGO	RGO	Central Asia				Alpine	Volumetric	1.09E+02	2.50E+01	3.48E-04				3.19000			
Hallet et al., 1996	Chernova, 1981	10.3189/172756481794352270	Zaravshanskiy	Zaravshanskiy	Central Asia	39.32454	69.39521		Alpine	Volumetric	1.34E+02	8.30E+01	6.67E-04				4.98000			
Hallet et al., 1996	Elverhøi et al., 1980		Svalbard	Kongsvegen	Fennoscandia	78.25620	15.51170		High-latitude	Volumetric	8.00E+02	1.00E+01					1.00000			Varves every 10 cm, cores up to 1m deep
Hallet et al., 1996	Gardner and Jones, 1984		Raikgt, Pakistan	Raikgt, Pakistan	Himalayas	35.34966	74.62258		Alpine		9.33E+01						1.75000			
Hallet et al., 1996	Hallet et al., 1996	10.1016/0921-8181(95)00021-6	Norway	Nigardsbreen	Fennoscandia	61.57920	7.31470		High-latitude	Volumetric	4.80E+01	2.50E+01					0.15000			
Hallet et al., 1996	Hammer and Smith, 1983	10.1111/j.1502-3885.1983.tb00441.x	Hilda, Rocky Mts, Canada	Hilda	North American Cordillera	51.73558	-119.45687		Alpine	Volumetric	2.20E+00	2.00E+00					0.26000			
Hallet et al., 1996	Hicks et al.. 1990	10.2307/1551718	Ivory, New Zealand	Ivory	New Zealand	-77.72570	166.56670		Alpine	Volumetric	2.20E+00	1.00E+01					5.60000			
Hallet et al., 1996	Humphrey and Raymond, 1994	10.3189/S0022143000012429	Variegated, Alaska	Variegated	North American Cordillera	59.76830	-138.00640		High-latitude	Volumetric	7.80E+01	3.00E+00					5.19000			
Hallet et al., 1996	Hunter, 1994		Glacier Bay, Alaska	Grand Pacific	North American Cordillera	58.74390	-137.05670		High-latitude	Volumetric	9.50E+02	3.00E+00	7.83E-02				43.68000			
Hallet et al., 1996	Hunter, 1994		Glacier Bay, Alaska	Margerie	North American Cordillera	58.86730	-137.14670		High-latitude	Volumetric	2.40E+02	3.00E+00	2.72E-02				60.07000			
Hallet et al., 1996	Hunter, 1994		Muir Inlet, Glacier Bay, Alaska	Muir	North American Cordillera	58.92690	-133.90810		High-latitude	Volumetric	1.48E+02	3.00E+00	7.90E-03				28.05000			
Hallet et al., 1996	Jordan, 1962	10.2307/212613	Lituya Bay, Alaska	Lituya/N. Crillon	North American Cordillera	58.91820	-137.52690		High-latitude	Volumetric	1.74E+02	3.30E+01	1.46E-02				45.22000			
Hallet et al., 1996	Kjeldsen, 1983		Norway	Visa	Fennoscandia	61.77500	6.92000		High-latitude	Volumetric	3.30E+01	2.00E+00					0.60000			
Hallet et al., 1996	Lawler et al., 1992		Jøkulská, Iceland	Jøkulská	Iceland	65.25000	-14.00000		High-latitude	Volumetric	1.10E+02	1.60E+01					3.80000			
Hallet et al., 1996	Merrand, 1994		Glacier Bay, Alaska	Grand Pac./Margerie	North American Cordillera	58.74390	-137.05670		High-latitude	Volumetric	1.10E+03	8.60E+01	1.30E-02				6.03000			
Hallet et al., 1996	Molnia et al., 1978		Malaspina, Alaska	Malaspina	North American Cordillera	60.16170	-140.22250		High-latitude	Volumetric	5.01E+03		1.00E-01				10.58000			
Hallet et al., 1996	Molnia, 1985		Icy Bay, Alaska	Icy Bay	North American Cordillera	59.08940	-141.71810		High-latitude	Volumetric	1.59E+03	5.40E+01	5.00E-02				16.71000			
Hallet et al., 1996	Powell and Molnia, 1989	10.1016/0025-3227(89)90160-6	McBride, Alaska	McBride	North American Cordillera	58.76330	-136.55670		High-latitude	Volumetric	1.43E+02	3.00E+00	2.00E-03				7.41000			
Hallet et al., 1996	Powell, 1991	10.1130/SPE261-p75	Caroll, Alaska	Caroll, Goldthwait	North American Cordillera	58.88485	-136.70338		High-latitude	Volumetric	5.27E+02	2.80E+01	2.80E-02				28.15000			
Hallet et al., 1996	Powell, 1991	10.1130/SPE261-p75	Crillon, Alaska	Crillon	North American Cordillera	58.66428	-137.16523		High-latitude	Volumetric	7.10E+01	3.50E+01	1.60E-03				12.01000			
Hallet et al., 1996	Powell, 1991	10.1130/SPE261-p75	Muir Inlet, Glacier Bay, Alaska	Muir	North American Cordillera	58.92690	-133.90810		High-latitude	Volumetric	1.48E+02	9.00E+00	2.70E-03				9.64000			
Hallet et al., 1996	Powell, 1991	10.1130/SPE261-p75	Riggs, Alaska	Riggs	North American Cordillera	58.37200	-133.96120		High-latitude	Volumetric	1.26E+02	6.00E+00	2.80E-03				11.76000			
Hallet et al., 1996	Small, 1987		Switzerland	Tsidjore	Alps	46.00540	7.74570		Alpine	Volumetric	4.20E+00						1.17000			
Hallet et al., 1996	Sollid et al., 1994		Svalbard	Erikbreen	Fennoscandia	78.17460	15.55140		High-latitude	Volumetric	9.00E+00						0.19000			
Hallet et al., 1996	Sollid et al., 1994		Svalbard	Hannabreen	Fennoscandia	78.19930	16.11720		High-latitude	Volumetric	9.10E+00						0.08000			
Hallet et al., 1996	Stravers and Syvitski, 1991	10.1016/0033-5894(91)90096-N	NE Canada	Cambridge Fjord	Laurentide	71.50000	-74.50000		High-latitude	Volumetric	6.80E+03	2.10E+03	8.66E-07				0.18000			
Hallet et al., 1996	Stravers and Syvitski, 1991	10.1016/0033-5894(91)90096-N	NE Canada	Coronation Fjord	Laurentide	56.27710	-134.26297		High-latitude	Volumetric	8.90E+02						0.86000			
Hallet et al., 1996	Stravers and Syvitski, 1991	10.1016/0033-5894(91)90096-N	Muir Inlet, Glacier Bay, Alaska	Muir	North American Cordillera	58.92690	-133.90810		High-latitude	Volumetric	6.83E+02	8.00E+01	2.06E-02				15.99000			
Lliboutry, 1994	Bezinge et al., 1989	10.3189/S0022143000012314	Central Alps, Switzerland	Herens Glacier	Alps	46.02000	7.57680		Alpine	Volumetric	1.23E+01						1.05000	0.97000	1.13000	Paper on erosion of hard beds specifically 
Lliboutry, 1994	Lanser, 1958	10.3189/S0022143000012314	Central Alps, Austria	Venter Ache at Vent (Oetztal)	Alps	46.86460	10.97890		Alpine	Volumetric	1.20E+01						0.60000			Paper on erosion of hard beds specifically 
Lliboutry, 1994	Reheis, 1975	10.3189/S0022143000012314	Front Range, Colorado	Arapaho Glacier	North American Cordillera	40.02400	-105.64790		Alpine	Volumetric	2.50E-01						0.19000	0.14000	0.23500	Paper on erosion of hard beds specifically 
Lliboutry, 1994	Reheis, 1975	10.3189/S0022143000012314	Front Range, Colorado	Arapaho Glacier	North American Cordillera	40.02400	-105.64790		Alpine	Volumetric	2.50E-01						1.65000	1.26000	2.04000	Paper on erosion of hard beds specifically 
