Compilation	Reference	Reference DOI	Locality	Glacier	Region	Latitude	Longitude	Elevation (m)	Precipitation (mm/yr)	Slope (m/km)	Type	Lithology	Methodology	Area (km2)	Time interval (yr)	Sediment flux (km3/yr)	Exhumation (m)	Exhumation min (m)	Exhumation max (m)	Erosion rate (mm/yr)	Erosion rate min	Erosion rate max	Comments
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		569.00000	32.08894	Continental	gabbro, granodiorite, ign, met,	Cosmogenic surface	1.00000E-08	8.70000E+01		8.40000E-03			1.00000E-01	0.00000E+00	1.00000E-01	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		569.00000	32.08894	Continental	gabbro, granodiorite, ign, met,	Cosmogenic surface	1.00000E-08	2.02000E+02		2.33000E-02			1.20000E-01	0.00000E+00	2.50000E-01	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		569.00000	32.08894	Continental	gabbro, granodiorite, ign, met,	Cosmogenic surface	1.00000E-08	8.70000E+01		1.12000E-02			1.30000E-01	0.00000E+00	1.30000E-01	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		569.00000	32.08894	Continental	gabbro, granodiorite, ign, met,	Cosmogenic surface	1.00000E-08	2.13000E+02		3.37000E-02			1.60000E-01	2.00000E-02	3.00000E-01	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		569.00000	32.08894	Continental	gabbro, granodiorite, ign, met,	Cosmogenic surface	1.00000E-08	2.13000E+02		3.38000E-02			1.60000E-01	1.00000E-02	3.10000E-01	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		569.00000	32.08894	Continental	gabbro, granodiorite, ign, met,	Cosmogenic surface	1.00000E-08	2.17000E+02		1.13100E-01			5.20000E-01	4.10000E-01	6.30000E-01	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		569.00000	32.08894	Continental	gabbro, granodiorite, ign, met,	Cosmogenic surface	1.00000E-08	2.20000E+02		2.29600E-01			1.04000E+00	9.00000E-01	1.18000E+00	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		569.00000	32.08894	Continental	gabbro, granodiorite, ign, met,	Cosmogenic surface	1.00000E-08	2.22000E+02		2.41400E-01			1.09000E+00	9.80000E-01	1.20000E+00	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		569.00000	32.08894	Continental	gabbro, granodiorite, ign, met,	Cosmogenic surface	1.00000E-08	2.16000E+02		2.72400E-01			1.26000E+00	1.14000E+00	1.38000E+00	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		569.00000	32.08894	Continental	gabbro, granodiorite, ign, met,	Cosmogenic surface	1.00000E-08	2.17000E+02		2.72900E-01			1.26000E+00	1.16000E+00	1.36000E+00	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		569.00000	32.08894	Continental	gabbro, granodiorite, ign, met,	Cosmogenic surface	1.00000E-08	1.85000E+02		2.36200E-01			1.28000E+00	1.16000E+00	1.40000E+00	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		569.00000	32.08894	Continental	gabbro, granodiorite, ign, met,	Cosmogenic surface	1.00000E-08	2.22000E+02		3.09900E-01			1.40000E+00	1.29000E+00	1.51000E+00	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		569.00000	32.08894	Continental	gabbro, granodiorite, ign, met,	Cosmogenic surface	1.00000E-08	2.22000E+02		3.89900E-01			1.76000E+00	1.63000E+00	1.89000E+00	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		569.00000	32.08894	Continental	gabbro, granodiorite, ign, met,	Cosmogenic surface	1.00000E-08	2.13000E+02		4.05800E-01			1.91000E+00	1.75000E+00	2.07000E+00	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		569.00000	32.08894	Continental	gabbro, granodiorite, ign, met,	Cosmogenic surface	1.00000E-08	2.16000E+02		4.34500E-01			2.01000E+00	1.90000E+00	2.12000E+00	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		569.00000	32.08894	Continental	gabbro, granodiorite, ign, met,	Cosmogenic surface	1.00000E-08	1.85000E+02		3.86900E-01			2.09000E+00	1.96000E+00	2.22000E+00	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		569.00000	32.08894	Continental	gabbro, granodiorite, ign, met,	Cosmogenic surface	1.00000E-08	2.22000E+02		1.26510E+00			5.70000E+00	5.53000E+00	5.87000E+00	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		569.00000	32.08894	Continental	gabbro, granodiorite, ign, met,	Cosmogenic surface	1.00000E-08	2.16000E+02		1.34870E+00			6.24000E+00	6.00000E+00	6.48000E+00	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		569.00000	32.08894	Continental	gabbro, granodiorite, ign, met,	Cosmogenic surface	1.00000E-08	2.16000E+02		1.46970E+00			6.80000E+00	6.50000E+00	7.10000E+00	
Balter-Kennedy et al., 2021	Young et al., 2016	10.1002/2016GL070258	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		569.00000	32.08894	Continental	gabbro, granodiorite, ign, met,	Cosmogenic surface	1.00000E-08	8.70000E+01		3.20000E-02			3.70000E-01	6.00000E-02	6.80000E-01	
Balter-Kennedy et al., 2021	Young et al., 2016	10.1002/2016GL070258	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		569.00000	32.08894	Continental	gabbro, granodiorite, ign, met,	Cosmogenic surface	1.00000E-08	8.70000E+01		3.42000E-02			3.90000E-01	8.00000E-02	7.00000E-01	
Balter-Kennedy et al., 2021	Young et al., 2016	10.1002/2016GL070258	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		569.00000	32.08894	Continental	gabbro, granodiorite, ign, met,	Cosmogenic surface	1.00000E-08	8.70000E+01		5.49000E-02			6.30000E-01	3.20000E-01	9.40000E-01	
Balter-Kennedy et al., 2021	Young et al., 2016	10.1002/2016GL070258	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		569.00000	32.08894	Continental	gabbro, granodiorite, ign, met,	Cosmogenic surface	1.00000E-08	8.70000E+01		5.91000E-02			6.80000E-01	3.70000E-01	9.90000E-01	
Balter-Kennedy et al., 2021	Young et al., 2016	10.1002/2016GL070258	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		569.00000	32.08894	Continental	gabbro, granodiorite, ign, met,	Cosmogenic surface	1.00000E-08	8.70000E+01		7.45000E-02			8.60000E-01	5.40000E-01	1.18000E+00	
Balter-Kennedy et al., 2021	Young et al., 2016	10.1002/2016GL070258	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		569.00000	32.08894	Continental	gabbro, granodiorite, ign, met,	Cosmogenic surface	1.00000E-08	8.70000E+01		7.55000E-02			8.70000E-01	5.80000E-01	1.16000E+00	
Balter-Kennedy et al., 2021	Young et al., 2016	10.1002/2016GL070258	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		569.00000	32.08894	Continental	gabbro, granodiorite, ign, met,	Cosmogenic surface	1.00000E-08	8.70000E+01		9.10000E-02			1.05000E+00	7.30000E-01	1.37000E+00	
Balter-Kennedy et al., 2021	Young et al., 2016	10.1002/2016GL070258	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		569.00000	32.08894	Continental	gabbro, granodiorite, ign, met,	Cosmogenic surface	1.00000E-08	8.70000E+01		2.52700E-01			2.90000E+00	2.58000E+00	3.22000E+00	
Bell and Laine, 1985	Kaszycki and Shilts, 1980	10.1016/0033-5894(85)90026-2	Keewatin Peninsula Ontario	Laurentide Ice Sheet	Laurentide	49.75957	-94.55158		718.10000	16.50652	Continental	plut, ign,	Volumetric		6.40000E+04		6.00000E+00	2.00000E+00	1.00000E+01	9.37500E-02	3.12500E-02	1.56250E-01	unpublished data; last glacial/interglacial assuming Wisconsin c. 75 to 11 kya
Björnsson, 1979	Tómasson, 1976		Iceland	Langjökull	Iceland	64.75000	-19.98333		2009.00000	83.14888	High-latitude	#N/A	Volumetric	9.00000E+02	1.00000E+00					4.00000E-01			
Björnsson, 1979	Tómasson, 1976		Iceland	Hofsjökull	Iceland	64.81667	-18.81667		1815.80000	70.75820	High-latitude	#N/A	Volumetric	8.90000E+02	1.00000E+00					9.00000E-01			
Björnsson, 1979	Tómasson, 1976		Iceland	Vatnajökull	Iceland	65.77630	-22.39488		1303.80000	130.33981	High-latitude	basalt, volc, ign,	Volumetric	8.10000E+03	1.00000E+00					3.20000E+00			
Björnsson, 1979	Tómasson, 1976		Iceland	Mýrdalsjökull	Iceland	63.66666	-19.10000		5424.20000	127.67589	High-latitude	#N/A	Volumetric	5.90000E+02	1.00000E+00					4.50000E+00			
Burbank et al., 2000	Fitzgerald et al., 1995	10.1029/95JB02150	Denali, Alaska	Denali	North American Cordillera	63.06682	-151.00673		2338.90000	526.48541	Alpine		Thermochronometric	1.00000E+00	4.00000E+06		6.00000E+00			1.20000E+00			
Burbank et al., 2000	Foster et al., 1994	10.1130/0091-7613(1994)022%3C0019:RPEITK%3E2.3.CO;2	K2, Karakoram	K2	Central Asia	35.88029	76.51263		753.80000	543.75196	Alpine		Thermochronometric	1.00000E+00	1.25000E+06		3.00000E+00	4.00000E+00		4.50000E+00	3.00000E+00	6.00000E+00	
Burbank et al., 2000	Harrison et al., 1997	10.1016/S0012-821X(96)00215-4	Nepalese Himalaya	unnamed	Central Asia	28.59419	83.98890		3579.00000	518.87749	Alpine		Relief		4.00001E+06		2.50000E+01			4.50000E+00	4.00000E+00	5.00000E+00	
Burbank et al., 2000	Zeitler et al., 2001	10.1130/1052-5173(2001)011%3C0004:EHGATG%3E2.0.CO2	Nanga Parbat, Pakistan Himalaya	Nanga Parbat	Central Asia	35.23708	74.58927		1527.20000	546.04343	Alpine		Relief		3.00000E+06		1.75000E+01	1.50000E+01	2.00000E+01	6.00000E+00	5.00000E+00	7.00000E+00	
Faleide et al., 1996	Fiedler and Faleide, 1996	10.1016/0921-8181(95)00012-7	Bjørnøya Fan	Fennoscandian Ice Sheet	Fennoscandia	72.40000	20.00000		710.70000	2.75989	Continental		Volumetric	5.76000E+05	1.30000E+06					1.30000E-01			
Faleide et al., 1996	Fiedler and Faleide, 1996	10.1016/0921-8181(95)00012-7	Bjørnøya Fan	Fennoscandian Ice Sheet	Fennoscandia	72.40000	20.00000		710.70000	2.75989	Continental		Volumetric	5.76000E+05	4.40000E+05					3.10000E-01			
Faleide et al., 1996	Fiedler and Faleide, 1996	10.1016/0921-8181(95)00012-7	Bjørnøya Fan	Fennoscandian Ice Sheet	Fennoscandia	72.40000	20.00000		710.70000	2.75989	Continental		Volumetric	5.76000E+05	5.60000E+05					4.80000E-01			
Faleide et al., 1996	Hjelstuen et al., 1996	10.1016/0921-8181(95)00012-7	Storfjorden Fan	Fennoscandian Ice Sheet	Fennoscandia	76.00000	20.00000		438.10000	4.52907	Continental		Volumetric	6.90000E+04	4.40000E+05		1.16000E+02			1.80000E-01			
Faleide et al., 1996	Hjelstuen et al., 1996	10.1016/0921-8181(95)00012-7	Storfjorden Fan	Fennoscandian Ice Sheet	Fennoscandia	76.00000	20.00000		438.10000	4.52907	Continental		Volumetric	6.90000E+04	1.30000E+06		8.17000E+02			5.70000E-01			
Faleide et al., 1996	Hjelstuen et al., 1996	10.1016/0921-8181(95)00012-7	Storfjorden Fan	Fennoscandian Ice Sheet	Fennoscandia	76.00000	20.00000		438.10000	4.52907	Continental		Volumetric	6.90000E+04	5.60000E+05		7.54000E+02			1.10000E+00			
Geirsdóttir et al., 2007	Björnsson, 1979		Iceland	Vatnajökull	Iceland	65.77630	-22.39488		1303.80000	130.33981	High-latitude	basalt, volc, ign,	Volumetric	8.10000E+03	4.20000E+01					3.20000E+00			
Geirsdóttir et al., 2007	Björnsson, 1996	10.3189/1996AoG22-1-141-146	Iceland	Breiðamerkurjökull	Iceland	64.15332	-16.40858		3467.60000	95.76557	Outlet ice stream		Volumetric	7.50000E+02	1.58000E+02	3.16456E-02				3.72714E+02	4.21941E+01	7.03235E+02	Excavating soft sediment, not bedrock
Geirsdóttir et al., 2007	Geirsdóttir et al., 2007	10.1016/j.jog.2006.09.017	Iceland	Iceland shelf average	Iceland	64.84000	-18.38000		1219.80000	36.68927	Continental	basalt, volc, ign,	Volumetric	1.00000E+05	1.02000E+04					6.30000E-02	4.30000E-02	8.30000E-02	
Geirsdóttir et al., 2007	Guðmundsson personal communication to Geirsdóttir et al., 2007	10.1016/j.jog.2006.09.017	Iceland	Eastern Icelandic Ice Sheet	Iceland	65.00000	-14.00000		1735.40000	243.90929	Continental	basalt, volc, ign,	Relief		1.00000E+06					1.00000E-01			
Geirsdóttir et al., 2007	Guðmundsson personal communication to Geirsdóttir et al., 2007	10.1016/j.jog.2006.09.017	Iceland	Eastern Icelandic Ice Sheet	Iceland	65.00000	-14.00000		1735.40000	243.90929	Continental	basalt, volc, ign,	Relief		4.00000E+05					5.00000E-01			
Geirsdóttir et al., 2007	Helgason and Duncan, 2001	10.1130/0091-7613(2001)029<0179:GIHOTS>2.0.CO;22	Iceland	Southern Icelandic Ice Sheet	Iceland	64.50000	-16.00000		3064.90000	58.62299	Continental		Relief		2.20000E+00					2.30000E-01			
Geirsdóttir et al., 2007	Helgason and Duncan, 2001	10.1130/0091-7613(2001)029<0179:GIHOTS>2.0.CO;22	Iceland	Southern Icelandic Ice Sheet	Iceland	64.50000	-16.00000		3064.90000	58.62299	Continental		Relief		8.00000E+05					1.75000E+00			
Hallet et al., 1996	Anderson, 1978	10.1080/00040851.1978.12004012	Baffin Island, Canada	Pangnirmng Fjord	Laurentide	66.44895	-65.64205		914.20000	223.30873	High-latitude	plut, ign,	Volumetric		2.00000E+02					3.00000E-02			Lichenometry...
Hallet et al., 1996	Andrews et al., 1994	10.1086/629711	Kangerlussuaq Fjord	Kangerlussuaq	Greenland	67.01100	-50.72000		241.20000	65.82432	Continental	granite, ign, met,	Volumetric	5.00000E+03	1.20000E+04	6.62222E-07				1.00000E-02			
Hallet et al., 1996	Andrews et al., 1994	10.1086/629711	Nansen Fjord	Nansen Fjord	Greenland	80.01670	-21.00000		237.00000	18.83123	Continental	sed,	Volumetric	9.51700E+03	1.20000E+04	1.71889E-07				1.00000E-02			
Hallet et al., 1996	Andrews et al., 1994	10.1086/629711	Mikis Fjord	Mikis Fjord	Greenland	66.74220	-53.56390		508.00000	58.05724	Continental		Volumetric	1.95000E+02	1.20000E+04	1.03704E-08				4.00000E-02			
Hallet et al., 1996	Bezinge, 1987		Switzerland	Bertol Inferieur	Alps	46.00489	7.53182		1631.00000	436.14305	Alpine	sed, basalt, volc, ign, met,	Volumetric	8.20000E+00	1.91781E-02					4.10000E-01			Direct measurments of suspended sediment load, repeated over seven days
Hallet et al., 1996	Bezinge, 1987		Switzerland	Ferpecle	Alps	46.05170	7.51530		1284.30000	407.73819	Alpine	sed, basalt, volc, ign, met,	Volumetric	3.60000E+01	1.91781E-02					4.70000E-01			Direct measurments of suspended sediment load, repeated over seven days
Hallet et al., 1996	Bezinge, 1987		Switzerland	Tsidjore	Alps	46.00540	7.74570		1297.70000	408.69276	Alpine	basalt, volc, ign,	Volumetric	4.80000E+00	1.91781E-02					5.60000E-01			Direct measurments of suspended sediment load, repeated over seven days
Hallet et al., 1996	Bezinge, 1987		Switzerland	Stafel	Alps	45.97670	7.56250		1758.90000	435.61628	Alpine	sed, basalt, volc, ign, met,	Volumetric	3.60000E+01	1.91781E-02					7.70000E-01			Direct measurments of suspended sediment load, repeated over seven days
Hallet et al., 1996	Bezinge, 1987		Switzerland	Massa	Alps	46.60670	8.33110		1978.40000	417.66352	Alpine	met,	Volumetric		1.91781E-02					1.00000E+00			Direct measurments of suspended sediment load, repeated over seven days
Hallet et al., 1996	Bezinge, 1987		Switzerland	Dixence	Alps	46.11670	7.38190		1544.60000	375.06253	Alpine	met,	Volumetric		1.91781E-02					1.30000E+00			Direct measurments of suspended sediment load, repeated over seven days
Hallet et al., 1996	Bezinge, 1987		Switzerland	Gomer	Alps	46.64630	8.25470		2054.20000	442.80027	Alpine	met,	Volumetric	8.00000E+01	1.91781E-02					1.40000E+00			Direct measurments of suspended sediment load, repeated over seven days
Hallet et al., 1996	Bezinge, 1987		Switzerland	Drance	Alps	46.10800	7.09210		882.30000	427.79172	Alpine	plut, ign,	Volumetric		1.91781E-02					1.70000E+00			Direct measurments of suspended sediment load, repeated over seven days
Hallet et al., 1996	Bogen, 1989	10.3189/S0260305500007539	Norway	Tindefjellsbreen	Fennoscandia	61.51360	7.26470		2037.50000	373.38740	High-latitude	sed, volc, ign, met,	Volumetric	2.50000E+00	9.00000E+00					6.00000E-02			
Hallet et al., 1996	Bogen, 1989	10.3189/S0260305500007539	Norway	Hogbreen	Fennoscandia	78.19470	15.62000		505.20000	148.84884	High-latitude	siliciclast, shale, carb, sed,	Volumetric	2.60000E+00	3.00000E+00					7.00000E-02			
Hallet et al., 1996	Bogen, 1989	10.3189/S0260305500007539	Norway	Steinhusflatebreen	Fennoscandia	78.05870	15.74460		542.00000	175.03378	High-latitude	siliciclast, shale, carb, sed,	Volumetric	2.30000E+00	9.00000E+00					7.00000E-02			
Hallet et al., 1996	Bogen, 1989	10.3189/S0260305500007539	Norway	Bødalsbreen	Fennoscandia	60.98240	7.22650		1953.50000	346.97974	High-latitude	plut, ign,	Volumetric	1.35000E+01	1.70000E+01					8.00000E-02			
Hallet et al., 1996	Bogen, 1989	10.3189/S0260305500007539	Norway	Sandskardfonna	Fennoscandia	61.56520	6.36020		2622.10000	335.12913	High-latitude	sed, volc, ign, met,	Volumetric	3.60000E+00	9.00000E+00					9.00000E-02			
Hallet et al., 1996	Bogen, 1989	10.3189/S0260305500007539	Norway	Vesledalsbreen	Fennoscandia	60.69000	6.67920		2601.40000	250.56220	High-latitude	sed, volc, ign, met,	Volumetric	4.00000E+00	6.00000E+00					9.00000E-02			
Hallet et al., 1996	Bogen, 1989	10.3189/S0260305500007539	Norway	Skåtlbreen	Fennoscandia	78.09560	15.73310		545.90000	168.11342	High-latitude	siliciclast, shale, carb, sed,	Volumetric	4.80000E+00	9.00000E+00					2.30000E-01			
Hallet et al., 1996	Bogen, 1989	10.3189/S0260305500007539	Norway	Austre Memurubreen	Fennoscandia	61.58280	8.32275		1639.30000	263.11956	High-latitude	plut, ign,	Volumetric	9.00000E+00	6.00000E+00					3.80000E-01			
Hallet et al., 1996	Bogen, 1989	10.3189/S0260305500007539	Norway	Engabreen	Fennoscandia	67.85560	15.59420		2118.20000	273.61856	High-latitude	sed, met,	Volumetric	3.80000E+01	1.00000E+01					4.10000E-01			
Hallet et al., 1996	Bogen, 1989	10.3189/S0260305500007539	Norway	Bondhusbreen	Fennoscandia	60.00600	6.55100		2333.50000	325.69328	High-latitude	sed, granite, ign, met,	Volumetric	1.20000E+01	2.00000E+00					4.40000E-01			
Hallet et al., 1996	Bogen, 1989	10.3189/S0260305500007539	Norway	Tverrelvskardet	Fennoscandia	61.28710	7.91210		1280.60000	276.80500	High-latitude	plut, ign,	Volumetric	1.01000E+01	9.00000E+00					6.50000E-01			
Hallet et al., 1996	Bogen, 1989	10.3189/S0260305500007539	Norway	Erdalsbreen	Fennoscandia	61.64100	7.76980		1430.80000	271.50263	High-latitude	sed, volc, ign, met,	Volumetric	1.10000E+01	7.00000E+00					7.00000E-01			
Hallet et al., 1996	Bogen, 1989	10.3189/S0260305500007539	Norway	Trollbergdalsbreen	Fennoscandia	61.44560	7.18140		2973.40000	311.76491	High-latitude	sed, met,	Volumetric	2.00000E+00	5.00000E+00					9.60000E-01			
